Station ID,Address,Charger Type,Station Operator,Charging Capacity (kW),Cost (USD/kWh),Distance to City (km),Parking Spots,Reviews (Rating),Usage Stats (avg users/day),High_Utilization,Utilization_Probability,Priority_Tier
EVS02372,"6261 Moscow Ave, Moscow",AC Level 1,ChargePoint,22,0.13,19.12,1,4.9,17,0,0.5674,MEDIUM
EVS00096,"3633 São Paulo Ave, São Paulo",AC Level 1,ChargePoint,50,0.11,18.49,2,4.9,85,1,0.5657,MEDIUM
EVS01433,"7459 Beijing Ave, Beijing",AC Level 1,ChargePoint,22,0.1,19.45,3,4.7,50,0,0.5645,MEDIUM
EVS03282,"9436 Cape Town Ave, Cape Town",AC Level 2,Tesla,50,0.12,16.07,1,5.0,64,1,0.5632,MEDIUM
EVS03877,"6779 Moscow Ave, Moscow",DC Fast Charger,Greenlots,22,0.12,19.17,2,4.7,53,0,0.5631,MEDIUM
EVS04631,"2852 Random Rd, City 269, Country",AC Level 2,Tesla,22,0.11,14.54,1,4.8,21,0,0.5591,MEDIUM
EVS00676,"4834 Mexico City Ave, Mexico City",AC Level 1,EVgo,22,0.11,17.73,4,4.7,63,1,0.5574,MEDIUM
EVS02004,"5236 Dubai Ave, Dubai",AC Level 1,Greenlots,150,0.12,16.02,1,4.9,62,1,0.5571,MEDIUM
EVS03582,"7214 Chicago Ave, Chicago",AC Level 1,Tesla,50,0.11,16.69,1,4.5,73,1,0.5568,MEDIUM
EVS00244,"3264 Los Angeles Ave, Los Angeles",AC Level 2,ChargePoint,50,0.1,12.34,1,4.9,89,1,0.5567,MEDIUM
EVS01548,"2316 Chicago Ave, Chicago",DC Fast Charger,Ionity,22,0.17,17.78,2,4.9,33,0,0.5566,MEDIUM
EVS00161,"4227 Random Rd, City 428, Country",AC Level 2,ChargePoint,22,0.12,14.91,3,4.9,53,0,0.5559,MEDIUM
EVS01451,"9691 Random Rd, City 244, Country",DC Fast Charger,Greenlots,22,0.17,18.05,2,4.8,74,1,0.5553,MEDIUM
EVS03472,"9063 Beijing Ave, Beijing",DC Fast Charger,Tesla,22,0.16,15.99,1,4.8,68,1,0.5547,MEDIUM
EVS04663,"9982 Toronto Ave, Toronto",DC Fast Charger,ChargePoint,150,0.17,19.39,2,4.9,25,0,0.5545,MEDIUM
EVS02304,"610 Bangkok Ave, Bangkok",AC Level 2,Tesla,22,0.14,15.17,1,4.7,40,0,0.5541,MEDIUM
EVS04448,"2480 Berlin Ave, Berlin",AC Level 2,Greenlots,150,0.12,16.35,1,4.7,32,0,0.5541,MEDIUM
EVS02177,"1062 Cape Town Ave, Cape Town",DC Fast Charger,ChargePoint,22,0.11,13.99,3,4.8,36,0,0.5537,MEDIUM
EVS00812,"5328 Mumbai Ave, Mumbai",DC Fast Charger,EVgo,350,0.11,19.47,2,4.8,68,1,0.5532,MEDIUM
EVS04040,"3818 Beijing Ave, Beijing",DC Fast Charger,Ionity,50,0.16,16.58,1,4.7,82,1,0.5529,MEDIUM
EVS01811,"222 Random Rd, City 20, Country",DC Fast Charger,Greenlots,50,0.11,18.84,5,4.5,90,1,0.5527,MEDIUM
EVS01678,"8387 Bangkok Ave, Bangkok",DC Fast Charger,Tesla,22,0.18,18.84,2,4.6,74,1,0.5518,MEDIUM
EVS01186,"3038 Bangkok Ave, Bangkok",AC Level 2,Greenlots,50,0.13,15.04,3,4.8,50,0,0.5517,MEDIUM
EVS02843,"2613 Los Angeles Ave, Los Angeles",DC Fast Charger,ChargePoint,22,0.13,15.68,6,5.0,39,0,0.5515,MEDIUM
EVS00606,"2259 Mexico City Ave, Mexico City",AC Level 2,ChargePoint,50,0.11,13.09,1,4.6,90,1,0.5512,MEDIUM
EVS02476,"7407 Mumbai Ave, Mumbai",AC Level 2,ChargePoint,50,0.15,19.1,6,4.8,77,1,0.5507,MEDIUM
EVS03377,"1911 Beijing Ave, Beijing",AC Level 2,ChargePoint,22,0.11,15.87,8,5.0,34,0,0.5505,MEDIUM
EVS01202,"813 Dubai Ave, Dubai",DC Fast Charger,Tesla,22,0.12,17.27,1,4.1,82,1,0.5503,MEDIUM
EVS03632,"924 Chicago Ave, Chicago",AC Level 1,EVgo,50,0.16,19.29,4,4.6,86,1,0.5502,MEDIUM
EVS04728,"1277 Beijing Ave, Beijing",DC Fast Charger,ChargePoint,22,0.17,17.73,5,4.9,51,0,0.5501,MEDIUM
